Participant,Temperature,Duration,Location
7,-15,2.0,1.0
7,-12,0.5,0.25
7,6,0.5,0.5
7,-15,0.5,0.0
7,6,0.5,1.0
7,9,1.5,1.0
7,0,0.5,0.75
7,0,1.5,1.0
7,6,1.0,0.25
7,9,0.5,0.0
7,9,1.5,1.0
7,6,0.5,0.75
7,6,1.0,1.0
7,-15,0.5,1.0
7,9,0.5,0.0
7,-15,1.0,1.0
7,9,0.5,0.25
7,0,0.1,0.25
7,9,2.0,0.75
7,6,0.1,0.0
7,9,2.0,0.75
7,0,2.0,0.75
7,0,1.5,1.0
7,9,0.5,0.75
7,6,0.1,0.5
7,9,1.5,0.5
7,6,0.5,0.25
7,6,2.0,0.25
7,-15,2.0,0.25
7,-15,0.1,0.0
7,6,1.5,1.0
7,-12,0.5,0.75
7,0,1.0,0.5
7,-15,2.0,0.75
7,6,1.5,0.0
7,0,0.5,0.25
7,0,1.5,0.75
7,6,2.0,0.75
7,-12,2.0,0.5
7,6,0.1,1.0
7,-12,2.0,1.0
7,-12,1.0,0.5
7,6,1.0,0.75
7,-15,0.1,1.0
7,-12,0.5,0.0
7,9,2.0,0.75
7,-12,0.1,0.75
7,9,0.1,0.25
7,-12,0.5,1.0
7,0,1.5,0.0
7,-15,1.5,0.5
7,6,0.1,0.5
7,9,1.0,0.75
7,0,2.0,1.0
7,-15,2.0,0.25
7,-15,1.5,0.25
7,-15,1.5,0.0
7,0,1.0,0.5
7,-12,1.0,0.25
7,-12,1.0,1.0
7,6,2.0,0.75
7,6,0.5,0.75
7,9,0.1,1.0
7,0,0.1,0.5
7,-12,1.5,0.0
7,6,0.1,0.75
7,-15,1.0,1.0
7,9,2.0,0.0
7,-12,2.0,0.5
7,-15,0.1,0.25
7,6,2.0,0.5
7,-15,0.5,1.0
7,-12,0.1,0.75
7,0,2.0,0.75
7,-15,1.0,0.5
7,-12,0.5,0.25
7,9,1.0,0.25
7,-12,1.0,0.25
7,0,0.5,0.0
7,-12,2.0,0.0
7,6,0.5,0.75
7,9,1.0,0.0
7,9,0.1,0.25
7,-15,1.5,0.25
7,9,0.5,0.0
