Participant,Temperature,Duration,Direction
13,-15,2.0,1
13,6,0.1,0
13,9,1.0,1
13,-12,2.0,0
13,9,0.1,1
13,6,2.0,1
13,0,1.0,1
13,0,1.5,1
13,-12,0.1,0
13,9,2.0,1
13,-12,0.5,0
13,-12,0.5,0
13,9,0.5,0
13,-15,2.0,0
13,6,0.1,1
13,-15,0.1,1
13,-15,1.5,0
13,9,0.1,1
13,6,1.0,0
13,6,2.0,1
13,-12,1.0,1
13,6,0.5,1
13,9,0.5,0
13,0,0.5,1
13,-15,0.5,0
13,0,2.0,0
13,-12,1.5,0
13,0,0.5,0
13,9,0.1,0
13,6,1.0,1
13,9,2.0,0
13,-12,0.1,1
13,9,0.1,1
13,-15,0.1,1
13,6,1.5,1
13,0,1.0,0
13,9,1.0,0
13,9,2.0,1
13,9,2.0,0
13,6,1.5,1
13,-15,0.5,0
13,6,0.1,1
13,9,1.0,0
13,0,2.0,0
13,-12,1.5,1
13,6,1.5,0
13,6,1.5,1
13,0,0.1,1
13,9,1.5,0
13,-15,2.0,1
13,0,0.1,0
13,-15,2.0,0
13,0,1.5,1
13,-12,1.0,1
13,-12,1.0,1
13,-12,1.5,0
13,-12,1.5,0
13,6,2.0,0
13,-15,1.5,1
13,-12,1.0,0
13,0,1.0,0
13,6,2.0,0
13,9,0.1,0
13,-15,1.0,0
13,-12,1.5,1
13,0,0.5,0
13,-15,1.0,1
13,9,2.0,0
13,0,1.5,0
13,0,1.5,1
13,-15,1.5,0
13,9,1.5,0
13,0,0.1,1
13,0,2.0,1
13,-15,0.1,1
13,-15,0.5,1
13,-15,0.1,0
13,-15,0.5,1
13,6,1.0,0
13,-12,0.1,0
13,6,1.0,0
13,6,0.5,0
13,-12,1.0,0
13,9,1.5,1
13,0,0.1,0
13,0,0.5,0
13,6,0.5,1
13,0,1.0,0
13,9,0.5,1
13,0,2.0,0
13,9,1.0,1
13,0,0.1,1
13,-15,0.5,0
13,-15,1.5,1
13,6,2.0,1
13,-12,0.5,0
13,9,0.5,1
13,6,0.1,1
13,-15,1.0,1
13,-15,1.0,1
13,-12,2.0,0
13,0,1.0,1
13,0,1.5,0
13,-12,0.1,1
13,0,0.1,0
13,-12,0.5,1
13,-12,0.1,1
13,6,0.5,0
13,6,0.1,0
13,6,1.0,1
13,9,1.0,0
13,0,2.0,1
13,-15,1.0,0
13,6,0.5,1
13,6,2.0,0
13,0,0.5,1
13,9,1.5,1
13,9,0.1,0
13,-15,0.1,0
13,-12,0.5,1
13,-15,0.1,0
13,-12,1.0,0
13,-12,2.0,1
13,-12,0.1,0
13,6,1.5,0
13,-12,2.0,1
13,9,0.5,0
13,9,0.5,1
13,-15,1.5,0
13,9,2.0,1
13,9,1.0,1
13,0,1.0,1
13,6,1.0,1
13,-12,2.0,1
13,-15,1.0,0
13,0,1.5,0
13,6,1.5,0
13,-12,0.5,1
13,-15,1.5,1
13,0,0.5,1
13,0,2.0,1
13,9,1.5,1
13,-15,2.0,1
13,-15,0.5,1
13,9,1.5,0
13,-12,2.0,0
13,-15,2.0,0
13,6,0.5,0
13,-12,1.5,1
13,6,0.1,0
