Participant,Temperature,Duration,Direction
12,0,1.0,0
12,-15,1.0,1
12,-15,0.1,1
12,0,2.0,0
12,-15,0.1,0
12,0,2.0,1
12,0,1.0,0
12,0,2.0,0
12,9,0.1,0
12,0,0.1,1
12,0,0.1,1
12,9,2.0,0
12,0,2.0,0
12,-15,1.0,1
12,9,2.0,0
12,0,1.0,1
12,-15,2.0,1
12,9,2.0,0
12,-15,2.0,0
12,-15,1.0,0
12,-15,0.1,0
12,-15,2.0,0
12,9,1.0,0
12,0,0.1,0
12,9,1.0,0
12,9,0.1,0
12,-15,1.0,0
12,9,2.0,1
12,9,1.0,1
12,9,0.1,1
12,-15,1.0,1
12,0,1.0,0
12,-15,1.0,0
12,0,2.0,1
12,-15,0.1,1
12,9,1.0,1
12,9,0.1,0
12,-15,0.1,1
12,9,2.0,1
12,9,0.1,1
12,-15,2.0,1
12,-15,2.0,1
12,0,1.0,1
12,-15,0.1,0
12,0,2.0,1
12,-15,2.0,0
12,9,2.0,1
12,9,1.0,0
12,9,1.0,1
12,0,0.1,1
12,0,0.1,0
12,0,1.0,1
12,0,0.1,0
12,9,0.1,1
