Participant,Temperature,Duration,Direction
12,-12,0.2,1
12,0,0.3,1
12,9,0.1,1
12,-15,0.5,0
12,6,0.4,0
12,9,0.4,1
12,6,0.4,0
12,9,0.2,0
12,6,0.3,0
12,-15,0.5,0
12,-15,0.4,1
12,-15,0.3,0
12,-12,0.3,0
12,6,0.4,1
12,-15,0.2,0
12,9,0.1,0
12,9,0.5,0
12,-15,0.3,0
12,0,0.1,1
12,0,0.3,1
12,6,0.2,1
12,6,0.3,0
12,9,0.3,0
12,0,0.2,1
12,-12,0.1,1
12,0,0.5,1
12,9,0.2,1
12,-12,0.5,0
12,6,0.5,1
12,6,0.1,1
12,0,0.5,0
12,-15,0.1,0
12,-12,0.2,0
12,-12,0.4,1
12,0,0.1,0
12,-15,0.1,0
12,-15,0.2,1
12,9,0.1,1
12,0,0.1,1
12,9,0.5,1
12,-12,0.5,0
12,0,0.2,0
12,6,0.2,1
12,-12,0.4,0
12,9,0.3,1
12,0,0.4,1
12,-15,0.1,1
12,6,0.1,0
12,6,0.3,0
12,0,0.3,0
12,-15,0.2,1
12,9,0.1,0
12,6,0.2,1
12,0,0.4,0
12,-15,0.3,1
12,0,0.1,0
12,-15,0.4,0
12,-15,0.4,0
12,-15,0.2,0
12,-15,0.4,0
12,-12,0.3,0
12,-12,0.3,1
12,9,0.2,0
12,-12,0.1,0
12,6,0.5,1
12,-15,0.5,1
12,-12,0.5,1
12,0,0.2,0
12,9,0.2,1
12,-15,0.1,1
12,-12,0.3,1
12,9,0.3,1
12,6,0.4,0
12,9,0.5,1
12,9,0.3,1
12,9,0.5,0
12,6,0.2,0
12,9,0.3,0
12,0,0.2,1
12,9,0.4,0
12,6,0.4,1
12,6,0.1,1
12,9,0.4,1
12,9,0.4,1
12,0,0.2,1
12,6,0.3,1
12,-12,0.5,1
12,-12,0.1,0
12,6,0.2,0
12,9,0.4,0
12,0,0.3,1
12,-12,0.2,0
12,-12,0.4,0
12,6,0.3,1
12,-15,0.5,1
12,-12,0.3,0
12,-15,0.4,1
12,6,0.1,0
12,6,0.5,1
12,-12,0.1,1
12,9,0.4,0
12,0,0.3,0
12,6,0.5,0
12,6,0.3,1
12,6,0.5,0
12,9,0.1,1
12,-12,0.1,0
12,-15,0.1,1
12,-15,0.1,0
12,0,0.5,0
12,0,0.5,0
12,0,0.3,0
12,6,0.2,0
12,9,0.2,1
12,0,0.1,0
12,6,0.5,0
12,-15,0.3,1
12,9,0.5,1
12,-15,0.2,0
12,0,0.5,1
12,-12,0.5,1
12,-15,0.5,0
12,0,0.4,0
12,0,0.4,0
12,9,0.5,0
12,9,0.1,0
12,-12,0.4,1
12,-12,0.4,0
12,9,0.2,0
12,-12,0.2,1
12,6,0.1,1
12,-15,0.4,1
12,-12,0.1,1
12,-12,0.2,0
12,-15,0.3,0
12,-12,0.3,1
12,6,0.4,1
12,6,0.1,0
12,9,0.3,0
12,0,0.1,1
12,-12,0.4,1
12,0,0.5,1
12,-12,0.2,1
12,-15,0.2,1
12,0,0.4,1
12,0,0.4,1
12,-15,0.5,1
12,-15,0.3,1
12,0,0.2,0
12,-12,0.5,0
