Participant,Temperature,Duration,Direction
11,-15,0.1,0
11,9,0.5,0
11,9,0.1,0
11,9,0.5,1
11,9,0.25,1
11,-15,0.1,1
11,-15,0.25,1
11,-15,0.5,1
11,0,0.1,1
11,9,0.5,1
11,0,0.5,1
11,9,0.25,0
11,-15,0.5,1
11,0,0.5,0
11,-15,0.1,0
11,9,0.5,0
11,0,0.1,1
11,-15,0.5,1
11,0,0.5,0
11,9,0.1,1
11,0,0.1,1
11,-15,0.5,0
11,-15,0.5,0
11,9,0.1,0
11,-15,0.1,0
11,0,0.25,1
11,-15,0.1,0
11,0,0.25,1
11,9,0.1,1
11,-15,0.1,0
11,0,0.25,0
11,9,0.25,1
11,9,0.1,1
11,0,0.5,0
11,-15,0.5,0
11,0,0.1,0
11,-15,0.5,1
11,9,0.1,0
11,9,0.25,0
11,9,0.1,1
11,-15,0.25,0
11,9,0.5,0
11,9,0.1,0
11,0,0.5,0
11,0,0.1,1
11,9,0.25,0
11,9,0.5,0
11,-15,0.1,1
11,-15,0.1,1
11,0,0.25,0
11,-15,0.25,0
11,-15,0.5,1
11,9,0.5,0
11,9,0.5,1
11,0,0.5,1
11,9,0.25,1
11,9,0.5,0
11,9,0.1,1
11,0,0.25,1
11,-15,0.5,1
11,9,0.25,1
11,0,0.25,1
11,-15,0.25,1
11,-15,0.25,1
11,9,0.1,0
11,-15,0.25,0
11,9,0.25,0
11,-15,0.25,0
11,9,0.25,1
11,9,0.25,0
11,0,0.5,1
11,0,0.1,0
11,-15,0.25,0
11,9,0.25,1
11,0,0.25,1
11,0,0.25,0
11,0,0.25,0
11,9,0.25,0
11,0,0.5,1
11,-15,0.25,0
11,0,0.1,0
11,0,0.25,0
11,9,0.5,0
11,0,0.1,1
11,9,0.1,1
11,0,0.5,1
11,0,0.25,0
11,9,0.5,1
11,-15,0.1,1
11,0,0.5,0
11,-15,0.1,0
11,0,0.1,1
11,0,0.5,1
11,0,0.5,1
11,9,0.5,1
11,9,0.25,1
11,-15,0.1,1
11,9,0.5,1
11,-15,0.1,0
11,-15,0.25,0
11,9,0.1,1
11,0,0.1,0
11,-15,0.1,0
11,9,0.1,1
11,0,0.25,0
11,9,0.1,0
11,9,0.25,1
11,0,0.1,1
11,0,0.25,1
11,0,0.1,0
11,-15,0.25,1
11,-15,0.5,1
11,-15,0.25,1
11,9,0.5,0
11,0,0.5,0
11,9,0.5,1
11,9,0.25,0
11,0,0.25,0
11,9,0.1,0
11,0,0.25,0
11,-15,0.1,1
11,0,0.1,0
11,-15,0.5,0
11,0,0.5,1
11,9,0.25,1
11,0,0.25,1
11,-15,0.25,1
11,-15,0.25,1
11,9,0.25,0
11,9,0.5,0
11,0,0.1,0
11,9,0.1,0
11,0,0.1,1
11,-15,0.5,0
11,9,0.1,1
11,-15,0.1,1
11,0,0.25,1
11,0,0.5,1
11,-15,0.5,0
11,-15,0.25,0
11,-15,0.1,1
11,9,0.25,1
11,-15,0.5,1
11,0,0.25,1
11,-15,0.25,1
11,-15,0.5,0
11,-15,0.5,0
11,9,0.5,1
11,-15,0.5,0
11,9,0.5,0
11,-15,0.5,0
11,9,0.25,0
11,9,0.1,1
11,0,0.1,1
11,0,0.25,1
11,-15,0.25,1
11,-15,0.1,1
11,9,0.5,1
11,0,0.1,0
11,-15,0.5,1
11,-15,0.1,1
11,9,0.5,1
11,0,0.5,0
11,0,0.5,0
11,0,0.1,1
11,0,0.1,0
11,-15,0.25,0
11,-15,0.1,0
11,-15,0.1,0
11,-15,0.25,1
11,0,0.5,0
11,0,0.5,0
11,0,0.5,1
11,-15,0.5,1
11,9,0.1,0
11,0,0.1,0
11,-15,0.25,0
11,9,0.1,0
11,9,0.25,0
11,0,0.25,0
