Participant,Temperature,Duration,Direction
2,9,0.25,1
2,0,0.25,0
2,0,0.1,1
2,0,0.5,0
2,-15,0.25,0
2,-15,0.1,0
2,9,0.5,0
2,0,0.5,1
2,0,0.25,1
2,9,0.25,1
2,-15,0.1,0
2,0,0.1,1
2,0,0.5,1
2,0,0.5,0
2,-15,0.1,1
2,-15,0.25,0
2,0,0.1,0
2,-15,0.5,0
2,9,0.5,0
2,0,0.25,1
2,0,0.1,1
2,9,0.1,1
2,0,0.25,0
2,9,0.5,0
2,-15,0.5,0
2,9,0.25,0
2,0,0.5,0
2,9,0.25,0
2,-15,0.5,0
2,0,0.1,0
2,-15,0.25,0
2,9,0.25,0
2,0,0.25,0
2,0,0.1,0
2,9,0.1,1
2,-15,0.25,1
2,-15,0.5,1
2,0,0.25,1
2,9,0.5,1
2,9,0.1,0
2,-15,0.25,1
2,9,0.5,1
2,-15,0.5,1
2,9,0.25,1
2,-15,0.5,1
2,9,0.1,0
2,9,0.1,0
2,9,0.1,1
2,0,0.5,1
2,-15,0.25,1
2,-15,0.1,1
2,-15,0.1,0
2,9,0.5,1
2,-15,0.1,1
