Participant,Temperature,Duration,Direction
13,9,0.25,1
13,0,0.5,1
13,0,0.5,0
13,9,0.25,1
13,0,0.5,1
13,-15,0.1,0
13,9,0.25,0
13,9,0.5,1
13,-15,0.1,1
13,-15,0.25,0
13,-15,0.5,1
13,0,0.5,0
13,-15,0.5,1
13,-15,0.25,1
13,0,0.25,0
13,-15,0.25,0
13,-15,0.1,1
13,9,0.1,0
13,-15,0.5,0
13,-15,0.1,0
13,0,0.25,1
13,9,0.25,0
13,0,0.25,1
13,9,0.1,1
13,-15,0.25,1
13,0,0.25,0
13,0,0.1,1
13,0,0.5,0
13,9,0.1,1
13,0,0.1,0
13,-15,0.1,0
13,9,0.5,0
13,0,0.5,1
13,-15,0.5,0
13,-15,0.25,0
13,-15,0.5,0
13,9,0.5,1
13,0,0.25,1
13,-15,0.1,1
13,9,0.1,0
13,9,0.1,1
13,-15,0.5,1
13,0,0.25,0
13,-15,0.25,1
13,0,0.1,1
13,9,0.5,0
13,9,0.5,0
13,0,0.1,0
13,9,0.25,0
13,0,0.1,0
13,9,0.1,0
13,9,0.25,1
13,9,0.5,1
13,0,0.1,1
