Participant,Temperature,Duration,Direction
1,9,0.1,0
1,0,0.25,1
1,0,0.1,1
1,9,0.25,1
1,0,0.5,0
1,-15,0.25,1
1,9,0.1,0
1,-15,0.5,0
1,-15,0.1,0
1,0,0.1,1
1,9,0.25,1
1,0,0.25,0
1,9,0.5,0
1,0,0.25,1
1,9,0.1,1
1,-15,0.25,1
1,0,0.5,1
1,-15,0.25,0
1,-15,0.1,0
1,0,0.5,1
1,-15,0.25,0
1,-15,0.5,0
1,-15,0.5,1
1,-15,0.1,1
1,0,0.25,1
1,9,0.5,0
1,-15,0.1,1
1,0,0.5,1
1,0,0.25,1
1,0,0.1,1
1,0,0.1,0
1,9,0.1,0
1,9,0.5,1
1,9,0.1,0
1,0,0.25,0
1,9,0.25,1
1,9,0.5,0
1,0,0.25,1
1,0,0.5,1
1,0,0.5,0
1,-15,0.5,1
1,9,0.25,0
1,9,0.5,1
1,0,0.25,0
1,0,0.5,1
1,9,0.25,1
1,-15,0.5,1
1,0,0.25,0
1,9,0.25,0
1,-15,0.1,1
1,9,0.1,1
1,9,0.5,0
1,9,0.25,0
1,9,0.25,1
1,9,0.25,1
1,-15,0.5,1
1,0,0.25,0
1,0,0.1,1
1,-15,0.5,0
1,-15,0.5,1
1,-15,0.5,0
1,-15,0.25,0
1,0,0.5,0
1,-15,0.5,0
1,9,0.25,1
1,-15,0.25,1
1,0,0.5,1
1,0,0.1,1
1,0,0.1,0
1,-15,0.5,0
1,0,0.1,0
1,0,0.1,0
1,0,0.1,0
1,9,0.5,1
1,0,0.25,1
1,-15,0.1,1
1,-15,0.25,1
1,-15,0.25,1
1,0,0.25,0
1,9,0.5,0
1,9,0.5,1
1,9,0.1,1
1,0,0.5,1
1,0,0.25,0
1,9,0.25,0
1,-15,0.25,0
1,-15,0.5,0
1,-15,0.5,0
1,-15,0.1,1
1,9,0.5,1
1,9,0.25,1
1,0,0.1,1
1,9,0.5,0
1,9,0.5,1
1,-15,0.1,0
1,0,0.5,0
1,-15,0.1,1
1,-15,0.25,0
1,9,0.5,1
1,9,0.5,0
1,-15,0.25,1
1,9,0.1,0
1,-15,0.1,0
1,9,0.1,0
1,0,0.25,1
1,9,0.1,1
1,-15,0.5,1
1,-15,0.5,1
1,0,0.1,0
1,-15,0.1,1
1,9,0.1,1
1,0,0.5,1
1,9,0.25,0
1,9,0.1,0
1,-15,0.5,1
1,0,0.1,1
1,-15,0.25,1
1,9,0.1,1
1,9,0.5,0
1,9,0.25,1
1,9,0.25,0
1,-15,0.1,0
1,0,0.1,1
1,-15,0.25,0
1,-15,0.25,0
1,0,0.1,1
1,0,0.5,0
1,-15,0.1,1
1,0,0.5,0
1,9,0.5,0
1,0,0.1,0
1,0,0.5,0
1,-15,0.1,0
1,0,0.1,1
1,0,0.5,1
1,-15,0.25,0
1,0,0.25,0
1,-15,0.25,1
1,9,0.25,0
1,9,0.1,0
1,-15,0.5,1
1,-15,0.1,0
1,9,0.5,1
1,9,0.5,1
1,0,0.5,0
1,9,0.25,0
1,-15,0.5,0
1,-15,0.1,1
1,9,0.1,1
1,0,0.5,0
1,9,0.5,0
1,-15,0.5,1
1,9,0.1,1
1,9,0.25,0
1,0,0.25,0
1,-15,0.1,0
1,0,0.5,0
1,0,0.1,0
1,0,0.5,1
1,-15,0.25,0
1,0,0.25,1
1,9,0.5,1
1,0,0.25,1
1,9,0.25,0
1,-15,0.1,0
1,-15,0.5,0
1,0,0.25,1
1,9,0.1,0
1,-15,0.25,1
1,9,0.25,1
1,0,0.1,0
1,-15,0.25,1
1,-15,0.1,0
1,0,0.1,0
1,9,0.1,1
1,-15,0.1,1
1,0,0.25,0
1,9,0.1,0
1,9,0.1,1
1,-15,0.25,0
