Participant,Temperature,Duration,Direction
10,0,0.5,0
10,-15,0.1,0
10,-15,0.5,1
10,-15,0.5,1
10,9,0.25,1
10,-15,0.1,0
10,0,0.5,0
10,-15,0.1,0
10,9,0.1,1
10,9,0.5,1
10,0,0.5,0
10,-15,0.25,1
10,0,0.25,0
10,-15,0.25,1
10,9,0.25,0
10,9,0.1,1
10,-15,0.5,0
10,-15,0.25,1
10,9,0.5,0
10,-15,0.5,0
10,-15,0.25,0
10,-15,0.1,1
10,9,0.1,0
10,0,0.1,0
10,-15,0.25,0
10,0,0.5,1
10,0,0.5,1
10,9,0.25,1
10,9,0.1,0
10,0,0.25,0
10,9,0.5,0
10,-15,0.5,0
10,9,0.1,0
10,0,0.1,1
10,0,0.5,1
10,0,0.1,1
10,-15,0.25,1
10,9,0.5,1
10,9,0.25,1
10,0,0.25,0
10,-15,0.25,0
10,9,0.1,1
10,0,0.25,1
10,0,0.25,1
10,-15,0.25,0
10,0,0.5,1
10,0,0.5,1
10,0,0.25,0
10,0,0.25,0
10,-15,0.1,0
10,-15,0.1,0
10,9,0.5,1
10,9,0.25,1
10,9,0.25,0
10,0,0.1,0
10,-15,0.5,1
10,0,0.1,1
10,0,0.1,0
10,0,0.25,1
10,-15,0.25,0
10,-15,0.5,1
10,-15,0.1,1
10,9,0.25,1
10,-15,0.5,0
10,0,0.1,1
10,9,0.1,0
10,0,0.25,0
10,-15,0.1,0
10,-15,0.25,1
10,9,0.25,0
10,-15,0.1,1
10,-15,0.1,0
10,9,0.25,0
10,0,0.25,1
10,0,0.5,1
10,9,0.5,1
10,9,0.25,0
10,-15,0.1,1
10,-15,0.1,1
10,9,0.5,0
10,-15,0.5,1
10,9,0.1,0
10,-15,0.5,0
10,-15,0.1,0
10,-15,0.25,0
10,0,0.1,0
10,-15,0.1,1
10,0,0.25,1
10,-15,0.25,0
10,9,0.25,1
10,0,0.25,0
10,0,0.25,1
10,9,0.25,1
10,9,0.5,1
10,0,0.5,1
10,0,0.1,0
10,-15,0.1,0
10,9,0.5,0
10,-15,0.1,1
10,0,0.25,0
10,0,0.1,1
10,9,0.1,1
10,0,0.5,0
10,9,0.5,0
10,-15,0.25,1
10,0,0.25,1
10,0,0.5,1
10,9,0.5,0
10,0,0.1,1
10,-15,0.5,0
10,9,0.25,0
10,-15,0.5,0
10,9,0.25,1
10,-15,0.5,1
10,9,0.1,1
10,0,0.5,0
10,-15,0.25,0
10,9,0.1,1
10,9,0.25,1
10,0,0.25,1
10,0,0.1,1
10,0,0.1,0
10,0,0.1,1
10,-15,0.25,1
10,9,0.1,0
10,9,0.25,0
10,9,0.5,0
10,9,0.1,1
10,0,0.1,0
10,0,0.1,0
10,-15,0.5,1
10,-15,0.5,0
10,9,0.1,1
10,0,0.1,1
10,9,0.1,0
10,-15,0.5,1
10,9,0.5,0
10,0,0.1,1
10,-15,0.1,1
10,9,0.25,0
10,9,0.25,0
10,0,0.25,1
10,0,0.1,0
10,-15,0.5,1
10,9,0.25,0
10,9,0.5,1
10,0,0.25,1
10,0,0.5,0
10,0,0.5,0
10,0,0.5,0
10,0,0.25,0
10,0,0.1,0
10,9,0.1,1
10,-15,0.5,0
10,-15,0.25,0
10,9,0.5,0
10,-15,0.1,0
10,-15,0.5,1
10,9,0.5,1
10,9,0.1,1
10,0,0.5,0
10,-15,0.25,1
10,9,0.1,0
10,0,0.5,1
10,-15,0.25,1
10,9,0.5,1
10,-15,0.5,0
10,-15,0.25,1
10,9,0.1,0
10,0,0.25,0
10,9,0.5,0
10,-15,0.25,0
10,9,0.25,1
10,-15,0.1,1
10,9,0.5,1
10,-15,0.1,1
10,0,0.5,1
10,0,0.5,0
10,9,0.1,0
10,9,0.5,1
