Participant,Temperature,Duration,Location
21,9,0.1,0
21,9,1,0.25
21,0,2,0.5
21,-15,1,0.25
21,0,1,1
21,-15,1,0.75
21,-15,1,0.5
21,9,1,0
21,0,0.1,0.5
21,9,0.1,0.75
21,0,0.1,0
21,-15,2,0
21,9,2,0.5
21,-15,0.1,1
21,9,0.1,0.25
21,0,1,1
21,-15,1,0.25
21,-15,2,1
21,-15,0.1,0.5
21,0,1,0.5
21,0,1,1
21,0,1,0.25
21,0,2,0.75
21,0,2,0.5
21,-15,1,0.75
21,-15,2,1
21,-15,2,0.5
21,0,0.1,0.75
21,-15,0.1,0
21,9,0.1,0.25
21,9,1,0.25
21,0,0.1,0.75
21,0,2,0.5
21,0,1,0
21,9,2,0.75
21,-15,0.1,0.25
21,9,2,0.75
21,0,1,0.25
21,0,1,0.25
21,-15,0.1,0
21,0,0.1,1
21,-15,2,0.25
21,9,0.1,0
21,0,0.1,0.75
21,-15,0.1,0.5
21,-15,2,0.25
21,-15,2,0.5
21,-15,0.1,0.75
21,9,2,0
21,-15,2,0.5
21,9,1,0.5
21,-15,0.1,0
21,0,1,0.75
21,9,2,0.25
21,9,1,0.25
21,-15,0.1,0.75
21,0,0.1,0.5
21,0,1,0
21,9,0.1,0.25
21,0,2,0
21,0,0.1,0.25
21,-15,2,1
21,9,0.1,1
21,0,2,0.25
21,9,2,0
21,0,1,0.75
21,-15,1,0.75
21,-15,2,0.75
21,0,1,0.5
21,9,2,0.5
21,9,1,1
21,9,1,0.5
21,9,2,0.25
21,-15,1,0.5
21,0,2,0.25
21,9,0.1,1
21,0,0.1,1
21,9,0.1,0.75
21,-15,0.1,0.5
21,9,1,0.75
21,0,0.1,0.25
21,0,2,1
21,9,0.1,0.5
21,9,2,0.25
21,9,0.1,0.5
21,9,1,1
21,-15,0.1,0.25
21,0,1,0.75
21,-15,0.1,1
21,0,0.1,0
21,9,2,1
21,-15,1,0.25
21,9,2,1
21,0,0.1,0.5
21,9,0.1,0.5
21,-15,1,0
21,-15,1,0.5
21,-15,1,0
21,0,2,0.75
21,9,1,0
21,0,2,0
21,9,1,0.5
21,9,0.1,0
21,0,2,0
21,9,1,0
21,9,0.1,1
21,0,2,0.25
21,-15,1,1
21,0,1,0.5
21,-15,2,0.25
21,9,1,1
21,-15,1,1
21,9,0.1,0.75
21,0,0.1,1
21,9,1,0.75
21,-15,1,0
21,0,2,0.75
21,9,2,0.75
21,0,0.1,0
21,-15,2,0
21,9,2,0.5
21,-15,2,0.75
21,-15,2,0
21,-15,2,0.75
21,-15,0.1,0.75
21,0,2,1
21,-15,0.1,0.25
21,-15,1,1
21,-15,0.1,1
21,9,2,1
21,9,1,0.75
21,0,2,1
21,0,0.1,0.25
21,0,1,0
21,9,2,0
